source_workload,destination_workload,timestamp,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,istio_request_bytes,throughput,request_rate,p50_latency,p90_latency,p95_latency,p99_latency,time_window
frontend,checkoutservice,2025-03-10 16:17:00,"[146545.0, 146567.0, 146591.0, 146594.0]","[28.0, 22.0, 24.0, 3.0]","[28.0, 22.0, 24.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[191.07142857142856, 319.15909090909093, 189.8958333333333, 121.33333333333331]","[6430.0, 7305.0, 6690.0, 1215.0]","[428.6666666666667, 487.0, 446.0, 81.0]","[1.8666666666666667, 1.4666666666666666, 1.6, 0.2]",191.07142857142856,319.15909090909093,319.15909090909093,319.15909090909093,15S
frontend,currencyservice,2025-03-10 16:09:00,"[12026677.0, 12028043.0, 12029638.0]","[1261.0, 1366.0, 1595.0]","[1261.0, 1366.0, 1595.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[3.580293417928192, 5.104062957533718, 18.89034482759181]","[157460.0, 182110.0, 195925.0]","[10497.333333333334, 12140.666666666666, 13061.666666666666]","[84.06666666666666, 91.06666666666666, 106.33333333333331]",5.104062957533718,18.89034482759181,18.89034482759181,18.89034482759181,15S
frontend,currencyservice,2025-03-10 16:10:00,"[12031239.0, 12032997.0, 12034842.0, 12036762.0]","[1601.0, 1758.0, 1845.0, 1920.0]","[1601.0, 1758.0, 1845.0, 1920.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[25.42557776389849, 22.015784982935152, 28.08457994579381, 27.089140625003104]","[209330.0, 223140.0, 230495.0, 244225.0]","[13955.333333333334, 14876.0, 15366.333333333334, 16281.666666666666]","[106.73333333333332, 117.2, 123.0, 128.0]",27.089140625003104,28.08457994579381,28.08457994579381,28.08457994579381,15S
frontend,currencyservice,2025-03-10 16:11:00,"[12038605.0, 12040635.0, 12042664.0, 12044750.0]","[1843.0, 2030.0, 2029.0, 2086.0]","[1843.0, 2030.0, 2029.0, 2086.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[54.35214324470972, 42.23480295566796, 72.68846722523337, 59.117497603068784]","[234075.0, 271795.0, 254835.0, 276340.0]","[15605.0, 18119.666666666668, 16989.0, 18422.666666666668]","[122.86666666666666, 135.33333333333334, 135.26666666666668, 139.06666666666666]",59.117497603068784,72.68846722523337,72.68846722523337,72.68846722523337,15S
frontend,currencyservice,2025-03-10 16:12:00,"[12046891.0, 12049103.0, 12051270.0, 12051597.0]","[2141.0, 2212.0, 2176.0, 327.0]","[2141.0, 2212.0, 2167.0, 327.0]","[0.0, 0.0, 9.0, 0.0]","[1.0, 1.0, 0.9958639705882352, 1.0]","[0.0, 0.0, 0.0041360294117647, 0.0]","[70.68865016347432, 105.31209312839128, 60.03234886940196, 339.7707951070473]","[269750.0, 281210.0, 287325.0, 105825.0]","[17983.333333333332, 18747.33333333333, 19155.0, 7055.0]","[142.73333333333332, 147.46666666666667, 145.06666666666666, 21.8]",70.68865016347432,105.31209312839128,105.31209312839128,339.7707951070473,15S
frontend,currencyservice,2025-03-10 16:13:00,"[12052090.0, 12052723.0, 12053530.0, 12054444.0]","[493.0, 633.0, 807.0, 914.0]","[493.0, 633.0, 807.0, 914.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[2.678701825560832, 2.5774091627172195, 3.224907063197026, 7.135393873069036]","[55855.0, 74510.0, 104490.0, 106595.0]","[3723.6666666666665, 4967.333333333333, 6966.0, 7106.333333333333]","[32.86666666666667, 42.2, 53.8, 60.93333333333333]",3.224907063197026,7.135393873069036,7.135393873069036,7.135393873069036,15S
frontend,currencyservice,2025-03-10 16:14:00,"[12055621.0, 12056893.0, 12058220.0, 12059739.0]","[1177.0, 1272.0, 1327.0, 1519.0]","[1177.0, 1272.0, 1327.0, 1519.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[11.35760407817622, 4.515133647798742, 4.431461944232871, 29.062870309409185]","[144065.0, 167780.0, 166950.0, 193985.0]","[9604.333333333334, 11185.333333333334, 11130.0, 12932.333333333334]","[78.46666666666667, 84.8, 88.46666666666667, 101.26666666666668]",11.35760407817622,29.062870309409185,29.062870309409185,29.062870309409185,15S
frontend,currencyservice,2025-03-10 16:15:00,"[12061448.0, 12063155.0, 12064914.0, 12066837.0]","[1709.0, 1707.0, 1759.0, 1923.0]","[1709.0, 1707.0, 1759.0, 1923.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[19.79912229374513, 29.37545401288724, 24.08720864126837, 53.26723868955068]","[203660.0, 231025.0, 226350.0, 235205.0]","[13577.333333333334, 15401.666666666666, 15090.0, 15680.333333333334]","[113.93333333333334, 113.8, 117.26666666666668, 128.2]",29.37545401288724,53.26723868955068,53.26723868955068,53.26723868955068,15S
frontend,currencyservice,2025-03-10 16:16:00,"[12068814.0, 12070721.0, 12072717.0, 12074791.0]","[1977.0, 1907.0, 1996.0, 2074.0]","[1977.0, 1907.0, 1996.0, 2074.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[40.339403136064746, 41.92718930257261, 75.5426352705381, 81.38621022179363]","[249350.0, 254655.0, 264660.0, 255080.0]","[16623.333333333332, 16977.0, 17644.0, 17005.333333333332]","[131.8, 127.13333333333334, 133.06666666666666, 138.26666666666668]",75.5426352705381,81.38621022179363,81.38621022179363,81.38621022179363,15S
frontend,currencyservice,2025-03-10 16:17:00,"[12076971.0, 12079147.0, 12081422.0, 12081750.0]","[2180.0, 2176.0, 2275.0, 328.0]","[2180.0, 2176.0, 2275.0, 328.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[79.02348623853348, 113.56020220588236, 93.6809010988998, 132.91006097560975]","[284950.0, 280250.0, 293490.0, 113315.0]","[18996.666666666668, 18683.33333333333, 19566.0, 7554.333333333333]","[145.33333333333334, 145.06666666666666, 151.66666666666666, 21.866666666666667]",93.6809010988998,113.56020220588236,113.56020220588236,132.91006097560975,15S
